Close;LOGRTRN
3057.639893;
3113.590088;0.018133088
3089.48999;-0.007770404
3081.679932;-0.002531145
3091.860107;0.003298005
3135.72998;0.014089109
3027.98999;-0.034962966
3074.959961;0.015392851
3110.870117;0.011610587
3137.5;0.008523837
3087.070068;-0.016203861
3046.26001;-0.013307831
3052.030029;0.001892341
3075.72998;0.007735312
3055.290039;-0.006667738
3094.080078;0.012616106
3161;0.0213978
3226.72998;0.020580801
3223.820068;-0.000902221
3279.389893;0.017090384
3299.300049;0.006052943
3372.199951;0.021854996
3379.389893;0.002129852
3400;0.006080243
3333;-0.019902632
3379.090088;0.013733669
3399.439941;0.006004226
3372.01001;-0.008101686
3334.689941;-0.011129305
3362.02002;0.008162286
3309.040039;-0.015883861
3340.879883;0.009576081
3409;0.020184783
3417.429932;0.002469794
3458.5;0.011946182
3471.310059;0.003697092
3467.419922;-0.001121282
3386.48999;-0.023616795
3311.870117;-0.022280964
3270.540039;-0.012557899
3306.370117;0.010895825
3291.610107;-0.004474107
3190.48999;-0.031202332
3223.909912;0.010420374
3151.939941;-0.022576764
3161.469971;0.003018983
3222.899902;0.019244445
3270.389893;0.014627666
3232.280029;-0.011721432
3231.800049;-0.000148507
3247.679932;0.004901602
3203.080078;-0.013828003
3244.98999;0.012999394
3259.050049;0.004323491
3265.159912;0.001872982
3230.110107;-0.010792514
3223.070068;-0.002181883
3218.649902;-0.001372356
3233.98999;0.004754679
3187.01001;-0.01463349
3206.219971;0.006009488
3198.01001;-0.00256392
3264.110107;0.020458426
3281.149902;0.005206771
3349.649902;0.020661893
3346.830078;-0.000842181
3383.870117;0.011006407
3383.129883;-0.000218778
3415.25;0.009449415
3489.23999;0.021433248
3486.899902;-0.000670883
3453.959961;-0.009491674
3505.439941;0.014794643
3503.820068;-0.000462209
3449.080078;-0.01574627
3401.459961;-0.013902812
3443.889893;0.012396876
3448.139893;0.001233309
3440.159912;-0.002316968
3432.969971;-0.002092189
3510.97998;0.022469428
3675.73999;0.045859275
3696.580078;0.005653619
3731.409912;0.009378066
3719.340088;-0.003239898
3718.550049;-0.000212436
3677.360107;-0.011138688
3681.679932;0.001174019
3631.199951;-0.013805993
3573.629883;-0.015981305
3549.590088;-0.006749725
3573.189941;0.006626609
3585.199951;0.003355509
3638.030029;0.014628087
3656.639893;0.005102329
3699.820068;0.011739524
3626.389893;-0.020046555
3630.320068;0.001083184
3599.919922;-0.008409216
3327.590088;-0.078663257
3331.47998;0.001168299
3366.23999;0.010379748
3354.719971;-0.003428091
3375.98999;0.006320311
3344.939941;-0.009239873
3341.870117;-0.000918173
3320.679932;-0.006361005
3292.110107;-0.008640832
3303.5;0.003453783
3293.969971;-0.002888997
3298.98999;0.001522843
3241.959961;-0.017438285
3201.219971;-0.012646095
3187.75;-0.004216639
3199.949951;0.003819831
3265.870117;0.020391056
3305.780029;0.012146235
3299.179932;-0.001998528
3316;0.005085305
3349.629883;0.01009062
3421.570068;0.021249673
3470.790039;0.014282715
3479;0.002362651
3463.120117;-0.004574946
3478.050049;0.004301855
3509.290039;0.008941943
3525.5;0.004608521
3484.159912;-0.011795313
3469.149902;-0.004317378
3457.169922;-0.003459266
3450;-0.002076082
3475.790039;0.007447571
3488.23999;0.003575506
3462.52002;-0.007400655
3355.72998;-0.031327327
3343.629883;-0.003612318
3380.050049;0.010833509
3416;0.010579759
3425.52002;0.002783015
3405.800049;-0.005773416
3315.959961;-0.026732712
3301.120117;-0.004485322
3285.040039;-0.004883
3283.26001;-0.000542006
3189.780029;-0.028884876
3221;0.009739912
3262.01001;0.012651703
3302.429932;0.012314968
3288.620117;-0.004190481
3246.300049;-0.012952158
3247.330078;0.000317243
3284.280029;0.011314314
3299.860107;0.004732617
3409.02002;0.03254479
3446.73999;0.011003988
3444.149902;-0.000751743
3415.060059;-0.008482031
3435.01001;0.00582476
3335.550049;-0.029382242
3320.370117;-0.00456134
3376.070068;0.016636074
3392.48999;0.004851831
3446.570068;0.015815391
3372.429932;-0.021746021
3318.110107;-0.016238157
3312.75;-0.001616716
3384;0.021279782
3477;0.027111411
3518.98999;0.012004161
3488.97998;-0.00856459
3576.22998;0.024699743
3482.050049;-0.026687952
3472.5;-0.002746419
3525.149902;0.015048165
3545.679932;0.005806981
3540.699951;-0.001405508
3549;0.00234144
3696.060059;0.04060153
3676.570068;-0.005287133
3572.570068;-0.028695027
3580.040039;0.002088741
3580.409912;0.00010331
3504.560059;-0.0214123
3561.570068;0.016136483
3507.070068;-0.015420528
3443.719971;-0.018228676
3437.360107;-0.001848508
3389.790039;-0.013935782
3427.370117;0.011025253
3523.290039;0.027601986
3523.159912;-0.0000369341
3483.419922;-0.011343742
3444.23999;-0.01131128
3391.350098;-0.015475167
3381.830078;-0.002811095
3466.300049;0.024670751
3377.419922;-0.025975675
3400.350098;0.006766315
3341.580078;-0.017434624
3408.340088;0.019781623
3420.73999;0.003631504
3421.370117;0.000184191
3393.389893;-0.0082117
3413.219971;0.005826729
3384.02002;-0.008591761
3372.889893;-0.003294446
3334.340088;-0.011495127
3408.090088;0.021877258
3350.439941;-0.01706038
3287.139893;-0.01907381
3265.080078;-0.006733565
3251.080078;-0.004297016
3229.719971;-0.006591836
3307.23999;0.023718564
3304.139893;-0.000937806
3224.280029;-0.024466517
3242.76001;0.005715144
3178.350098;-0.020062597
3125.97998;-0.016614397
3033.350098;-0.030080176
2852.860107;-0.061345614
2890.879883;0.013238876
2799.719971;-0.032041512
2777.449951;-0.007986179
2792.75;0.005493551
2879.560059;0.030610752
2991.469971;0.038127371
3023.870117;0.010772611
3012.25;-0.003850199
2776.909912;-0.081348541
3152.790039;0.12694902
3158.709961;0.001875917
3228.27002;0.021782692
3223.790039;-0.001388698
3180.070068;-0.013654468
3065.870117;-0.036571813
3103.340088;0.012147562
3130.209961;0.008621103
3162.01001;0.010107822
3093.050049;-0.02205023
3052.030029;-0.013350722
3003.949951;-0.01587888
2896.540039;-0.036411138
3027.159912;0.044107922
3075.77002;0.015930426
3071.26001;-0.001467379
3022.840088;-0.015891088
3041.050049;0.006006051
2957.969971;-0.027699654
2912.820068;-0.015381505
2749.060059;-0.057862651
2720.290039;-0.01052055
2785.580078;0.023717632
2936.350098;0.052711209
